hillary	trump	bill	ideo	econ	partyid	relative
0	85	50	5	3	6	-85
15	0	70	4	3	3	15
0	50	40	6	5	5	-50
15	85	15	5	4	4	-70
15	60	0	4	4	5	-45
60	50	50	3	3	3	10
85	0	50	2	3	3	85
40	30	60	4	3	5	10
85	0	60	2	2	1	85
85	0	85	2	2	1	85
40	100	40	6	3	7	-60
85	0	70	3	2	1	85
0	85	0	5	4	6	-85
10	90	60	3	3	6	-80
30	60	15	6	3	5	-30
0	60	15	7	4	5	-60
15	40	30	2	3	4	-25
85	0	100	2	2	3	85
40	40	30	4	3	4	0
40	60	60	2	2	2	-20
0	85	40	6	4	7	-85
0	100	0	6	3	7	-100
0	100	15	7	5	5	-100
40	40	40	4	2	6	0
70	15	85	2	2	2	55
0	85	0	4	4	7	-85
100	85	100	4	3	3	15
60	0	70	2	2	2	60
30	80	0	6	5	5	-50
0	60	50	5	4	7	-60
100	0	100	1	1	1	100
0	100	0	6	5	7	-100
0	70	15	4	3	5	-70
85	0	85	3	3	2	85
60	60	85	6	3	4	0
0	70	0	4	4	5	-70
60	40	100	2	2	1	20
50	0	85	4	3	3	50
70	30	85	2	3	1	40
0	85	60	5	3	6	-85
15	85	15	6	4	6	-70
85	15	70	2	1	1	70
70	30	50	3	3	3	40
85	0	85	4	3	1	85
85	0	70	2	2	1	85
70	0	70	2	3	1	70
50	50	60	4	4	5	0
30	40	40	4	3	6	-10
85	0	70	4	3	3	85
85	0	70	2	3	1	85
0	60	30	5	3	5	-60
60	40	40	5	5	5	20
60	15	70	2	2	1	45
85	15	100	2	2	1	70
60	15	60	2	2	3	45
70	0	70	4	5	6	70
0	8	0	4	4	5	-8
75	20	51	3	2	3	55
40	40	40	4	4	5	0
15	70	15	6	3	5	-55
60	0	85	4	5	1	60
50	0	60	4	2	3	50
50	10	50	3	3	3	40
40	0	60	2	2	3	40
0	60	0	4	4	5	-60
15	85	15	6	4	7	-70
15	60	15	7	4	7	-45
15	85	15	6	4	7	-70
85	0	70	2	4	2	85
70	50	60	4	2	2	20
90	0	100	2	1	1	90
0	40	50	5	4	5	-40
60	30	70	5	3	6	30
70	40	50	4	2	1	30
50	50	50	4	3	4	0
15	70	40	5	4	6	-55
85	0	60	2	2	1	85
85	0	85	3	2	1	85
60	70	40	5	3	4	-10
90	0	90	2	2	1	90
40	70	60	1	5	1	-30
30	30	70	3	2	3	0
70	0	70	5	3	6	70
70	60	70	4	2	3	10
60	40	50	4	3	3	20
15	70	15	4	3	5	-55
30	30	50	5	2	5	0
0	70	0	4	3	4	-70
0	70	30	4	4	5	-70
40	60	30	4	5	6	-20
45	65	55	5	4	7	-20
15	40	40	4	3	5	-25
30	30	15	4	3	5	0
0	70	0	6	3	6	-70
70	40	70	3	2	6	30
85	0	50	2	3	3	85
15	60	0	6	3	6	-45
0	0	0	4	3	5	0
0	100	15	5	2	5	-100
30	0	50	4	3	3	30
85	40	85	4	3	3	45
0	100	0	4	5	7	-100
30	30	15	4	4	3	0
50	15	70	4	3	1	35
40	0	70	1	3	3	40
0	70	30	7	3	7	-70
0	60	0	5	3	5	-60
70	0	60	2	2	1	70
0	60	50	6	4	7	-60
85	0	100	1	3	1	85
85	15	100	5	2	2	70
70	0	70	2	2	1	70
30	70	40	4	3	7	-40
0	60	30	6	3	4	-60
70	0	60	5	3	1	70
60	30	60	3	2	3	30
85	0	85	5	3	1	85
85	0	85	2	2	1	85
70	30	85	2	2	2	40
70	15	85	2	2	1	55
0	100	60	4	4	5	-100
40	70	40	4	2	5	-30
40	60	85	4	2	2	-20
15	70	50	4	3	5	-55
0	60	0	6	4	5	-60
85	15	60	2	2	1	70
70	0	40	1	2	1	70
60	0	50	2	2	3	60
85	50	85	6	2	1	35
0	0	15	6	3	7	0
0	70	0	5	3	5	-70
60	15	60	4	3	2	45
0	85	0	4	4	7	-85
70	0	60	4	3	2	70
0	70	30	5	3	7	-70
70	0	70	2	2	1	70
15	85	15	6	4	7	-70
40	1	85	4	1	4	39
100	50	70	4	3	1	50
60	50	60	3	3	2	10
40	60	70	3	2	3	-20
15	40	40	4	4	5	-25
100	0	60	4	3	2	100
5	0	100	5	1	3	5
50	100	40	4	4	6	-50
0	70	30	6	3	7	-70
14	35	41	6	3	6	-21
0	0	15	6	4	6	0
70	15	60	2	3	1	55
30	40	40	4	4	3	-10
30	0	30	4	3	4	30
70	30	50	3	4	5	40
70	15	70	3	3	1	55
25	75	40	7	3	7	-50
0	100	0	6	5	7	-100
60	30	50	4	4	4	30
70	85	100	6	3	5	-15
0	40	0	7	3	6	-40
0	60	30	6	5	7	-60
40	40	50	4	3	6	0
60	0	40	6	2	7	60
70	30	100	4	2	3	40
85	50	50	5	1	3	35
85	0	85	2	2	1	85
0	30	0	5	4	5	-30
100	0	85	1	2	1	100
0	0	0	5	3	5	0
70	50	60	4	3	5	20
0	0	15	6	5	2	0
0	85	15	6	3	7	-85
85	0	50	1	3	1	85
15	70	30	5	4	6	-55
50	0	70	2	2	2	50
0	85	30	3	2	1	-85
0	30	60	6	4	7	-30
0	30	15	4	4	5	-30
0	70	0	7	4	5	-70
30	70	30	6	3	7	-40
0	60	0	6	3	7	-60
40	90	50	5	5	7	-50
70	15	70	2	2	3	55
70	30	40	3	3	4	40
100	0	100	4	3	1	100
0	70	0	6	3	7	-70
30	40	30	4	3	5	-10
40	30	40	6	3	6	10
0	100	0	6	5	7	-100
0	85	0	7	5	7	-85
0	100	15	7	4	7	-100
60	85	60	4	3	5	-25
70	0	100	2	4	1	70
100	30	100	4	4	6	70
50	15	50	3	2	3	35
0	50	40	5	3	5	-50
40	15	50	5	4	6	25
100	0	70	4	3	1	100
15	85	15	6	3	7	-70
40	0	50	2	3	3	40
5	0	5	3	3	1	5
60	15	70	1	4	4	45
70	40	85	4	2	1	30
60	60	70	3	3	3	0
60	70	30	5	3	5	-10
40	15	70	5	3	5	25
100	0	100	3	2	1	100
70	0	60	4	3	3	70
100	0	85	2	1	1	100
40	0	15	2	3	3	40
0	70	30	5	3	7	-70
0	85	60	6	2	7	-85
70	60	85	3	3	2	10
15	0	15	6	3	2	15
70	15	60	4	1	2	55
85	0	85	2	2	1	85
60	0	60	4	2	1	60
0	70	0	7	5	7	-70
50	70	100	6	3	6	-20
50	40	40	4	3	4	10
0	50	0	6	3	7	-50
70	15	60	4	2	2	55
0	85	0	6	3	7	-85
60	60	40	2	4	3	0
96	50	100	6	3	2	46
15	60	70	6	1	7	-45
85	0	100	4	2	1	85
0	100	15	6	4	7	-100
0	0	0	4	4	3	0
10	30	50	3	3	3	-20
0	70	0	4	3	7	-70
15	15	15	5	3	6	0
60	0	40	3	2	2	60
100	0	85	3	1	1	100
15	40	70	5	3	4	-25
0	100	15	6	5	7	-100
85	0	100	1	4	3	85
15	40	40	4	3	5	-25
30	85	30	6	3	6	-55
20	50	50	4	4	5	-30
15	85	60	6	4	6	-70
65	10	55	4	2	3	55
30	70	15	4	5	6	-40
60	50	60	4	3	2	10
15	70	60	5	4	4	-55
40	85	30	6	3	7	-45
80	20	80	6	3	1	60
0	85	15	6	3	7	-85
60	15	60	4	3	6	45
15	100	50	7	5	7	-85
50	0	60	5	3	2	50
85	40	100	3	1	3	45
70	0	70	4	3	3	70
60	60	50	4	3	2	0
85	0	60	2	2	3	85
40	15	50	3	2	3	25
40	0	40	3	2	3	40
15	15	60	6	3	7	0
0	100	0	7	5	7	-100
0	40	70	6	4	5	-40
30	70	30	6	5	5	-40
40	0	50	3	3	3	40
40	0	60	3	2	3	40
20	75	40	6	3	7	-55
60	30	85	3	2	1	30
50	10	70	2	2	2	40
60	40	60	4	2	3	20
85	0	50	3	2	3	85
85	15	100	6	3	6	70
70	0	60	3	3	4	70
70	50	85	4	2	3	20
15	0	50	5	2	4	15
70	0	85	2	3	1	70
0	100	0	7	5	7	-100
0	100	0	6	5	7	-100
0	70	40	7	3	7	-70
100	0	100	1	5	3	100
70	0	60	4	1	3	70
15	30	60	4	3	5	-15
70	0	60	2	2	1	70
85	40	70	3	3	2	45
30	70	30	7	3	7	-40
0	30	40	6	3	7	-30
0	85	30	4	3	7	-85
50	0	70	5	3	6	50
60	0	70	3	2	1	60
15	70	15	6	4	7	-55
60	0	60	3	3	2	60
40	70	15	6	2	5	-30
70	0	70	1	3	1	70
0	85	0	6	5	5	-85
40	30	40	4	4	3	10
70	15	85	4	2	4	55
70	40	60	5	3	2	30
100	0	85	3	2	1	100
15	70	30	7	2	6	-55
40	30	70	3	2	2	10
15	85	30	5	4	6	-70
70	0	85	5	3	2	70
70	0	70	4	2	1	70
85	0	70	1	2	3	85
40	60	60	5	3	6	-20
85	0	85	2	3	3	85
0	85	15	6	4	5	-85
0	85	0	6	3	6	-85
85	0	70	3	3	1	85
0	85	0	6	3	7	-85
100	0	100	4	2	1	100
40	15	85	4	2	3	25
0	15	15	5	2	5	-15
30	60	30	5	3	7	-30
40	0	30	5	2	5	40
15	85	15	6	4	5	-70
0	100	0	4	3	7	-100
50	60	30	4	3	6	-10
50	50	100	3	3	3	0
10	0	85	2	2	1	10
0	70	0	6	5	7	-70
15	50	15	6	3	7	-35
0	85	0	4	4	5	-85
85	0	60	2	3	2	85
0	85	0	4	3	6	-85
15	85	50	5	3	5	-70
70	15	60	2	2	2	55
70	0	70	5	1	2	70
40	15	60	3	2	3	25
40	70	30	4	3	5	-30
85	15	70	3	2	3	70
50	50	70	6	2	3	0
85	50	85	4	3	2	35
100	0	70	4	4	3	100
85	0	85	6	1	1	85
15	60	15	4	4	5	-45
70	15	70	4	2	2	55
60	85	50	2	2	6	-25
85	0	60	5	3	2	85
0	60	0	7	3	7	-60
30	60	50	6	3	6	-30
0	70	15	5	3	7	-70
0	100	0	6	4	7	-100
40	60	70	4	3	2	-20
0	70	0	6	3	5	-70
0	70	0	7	5	7	-70
0	60	50	7	4	5	-60
0	70	0	6	3	5	-70
70	0	85	5	2	5	70
0	60	0	6	5	7	-60
85	0	70	3	2	1	85
40	60	50	4	4	5	-20
15	85	40	5	3	7	-70
15	70	15	6	3	5	-55
100	0	85	2	2	2	100
40	40	30	4	2	5	0
85	0	70	2	2	1	85
70	0	60	4	3	2	70
0	70	15	6	5	7	-70
0	100	15	6	4	7	-100
0	60	0	7	4	7	-60
30	30	70	3	5	6	0
60	0	85	4	5	1	60
60	80	10	7	3	6	-20
40	40	30	5	3	5	0
0	85	15	4	4	7	-85
0	85	0	6	4	7	-85
15	30	50	3	3	6	-15
40	70	50	6	4	5	-30
0	0	50	5	4	4	0
60	15	60	3	2	3	45
30	60	30	6	2	7	-30
15	85	30	6	3	7	-70
